portid,year,month,portname,mean_n_total,median_n_total,std_n_total,cv_n_total,mean_n_tanker,tanker_share,mean_capacity,mean_capacity_tanker,tanker_capacity_share,mean_n_container,mean_n_dry_bulk,mean_n_general_cargo,mean_n_cargo,disruption_frequency_total,disruption_frequency_tanker,strong_disruption_frequency_total,strong_disruption_frequency_tanker,max_drop_n_total,max_drop_n_tanker,observed_days,estimated_7d_lost_vessels,estimated_14d_lost_vessels,estimated_30d_lost_vessels,estimated_7d_lost_tankers,estimated_14d_lost_tankers,estimated_30d_lost_tankers,estimated_7d_lost_capacity,estimated_14d_lost_capacity,estimated_30d_lost_capacity,estimated_7d_lost_tanker_capacity,estimated_14d_lost_tanker_capacity,estimated_30d_lost_tanker_capacity,criticality_score,criticality_class
chokepoint4,2023,4,Bab el-Mandeb Strait,74.46666666666667,75.0,9.042937169066152,0.12143604076633148,26.533333333333335,0.3563115487914056,3563619.2666666666,1437607.5,0.4034122032752133,18.5,20.6,4.666666666666667,47.93333333333333,0.0,0.0,0.0,0.0,0.17979610750695094,0.25781250000000006,30,521.2666666666667,1042.5333333333333,2234.0,185.73333333333335,371.4666666666667,796.0,24945334.866666667,49890669.733333334,106908578.0,10063252.5,20126505.0,43128225.0,30.236,2
chokepoint4,2023,5,Bab el-Mandeb Strait,77.29032258064517,76.0,8.104293300002976,0.10485521381472965,26.548387096774192,0.34348914858096824,3617541.064516129,1324583.1290322582,0.3661556580586958,20.225806451612904,21.70967741935484,5.32258064516129,50.74193548387097,0.03225806451612903,0.03225806451612903,0.0,0.0,0.2060737527114967,0.4044665012406948,31,541.0322580645162,1082.0645161290324,2318.709677419355,185.83870967741933,371.67741935483866,796.4516129032257,25322787.451612905,50645574.90322581,108526231.93548387,9272081.903225807,18544163.806451615,39737493.870967746,31.282,2
chokepoint4,2023,6,Bab el-Mandeb Strait,76.23333333333333,77.0,9.981649830230138,0.13093550280144475,26.533333333333335,0.3480542195015304,3608040.1,1410318.3666666667,0.3908821209239517,19.8,19.533333333333335,6.5,49.7,0.0,0.0,0.0,0.0,0.2294520547945205,0.3893129770992366,30,533.6333333333333,1067.2666666666667,2287.0,185.73333333333335,371.4666666666667,796.0,25256280.7,50512561.4,108241203.0,9872228.566666666,19744457.133333333,42309551.0,30.276,2
chokepoint4,2023,7,Bab el-Mandeb Strait,73.80645161290323,74.0,8.059856718489518,0.10920260414037371,26.93548387096774,0.3649475524475524,3314977.1612903224,1321661.8709677418,0.3986941105963149,20.612903225806452,16.516129032258064,6.193548387096774,46.87096774193548,0.0,0.0,0.0,0.0,0.1996442863494887,0.36170212765957444,31,516.6451612903227,1033.2903225806454,2214.193548387097,188.54838709677418,377.09677419354836,808.0645161290322,23204840.129032258,46409680.258064516,99449314.83870967,9251633.096774193,18503266.193548385,39649856.129032254,29.035,2
chokepoint4,2023,8,Bab el-Mandeb Strait,72.70967741935483,73.0,8.855106053899437,0.1217871728797172,24.451612903225808,0.33629103815439226,3283000.6129032257,1164751.1935483871,0.35478250871186207,20.967741935483872,17.806451612903224,5.709677419354839,48.25806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.36668196420376326,0.4743935309973046,31,508.96774193548384,1017.9354838709677,2181.290322580645,171.16129032258067,342.32258064516134,733.5483870967743,22981004.29032258,45962008.58064516,98490018.38709678,8153258.35483871,16306516.70967742,34942535.80645161,28.966,2
chokepoint4,2023,9,Bab el-Mandeb Strait,75.26666666666667,75.0,6.987344882410422,0.09283452013831385,26.233333333333334,0.3485385296722764,3406333.0,1273357.4333333333,0.3738205963225948,20.366666666666667,19.9,5.033333333333333,49.03333333333333,0.0,0.0,0.0,0.0,0.16445623342175072,0.35279187817258884,30,526.8666666666667,1053.7333333333333,2258.0,183.63333333333333,367.26666666666665,787.0,23844331.0,47688662.0,102189990.0,8913502.033333333,17827004.066666666,38200723.0,28.934,2
chokepoint4,2023,10,Bab el-Mandeb Strait,78.2258064516129,78.0,8.06105732278901,0.10304856783771518,26.741935483870968,0.3418556701030928,3540838.0,1313888.5161290322,0.3710671078792738,19.516129032258064,22.129032258064516,5.967741935483871,51.483870967741936,0.06451612903225806,0.0,0.0,0.0,0.20648464163822533,0.3385214007782101,31,547.5806451612902,1095.1612903225805,2346.774193548387,187.19354838709677,374.38709677419354,802.258064516129,24785866.0,49571732.0,106225140.0,9197219.612903226,18394439.225806452,39416655.48387097,32.483,2
chokepoint4,2023,11,Bab el-Mandeb Strait,76.66666666666667,76.0,8.999361407740356,0.11738297488356984,26.0,0.3391304347826087,3479245.6666666665,1231304.0666666667,0.35389971983390656,18.666666666666668,23.033333333333335,4.933333333333334,50.666666666666664,0.0,0.0,0.0,0.0,0.22266139657444012,0.4267515923566879,30,536.6666666666667,1073.3333333333335,2300.0,182.0,364.0,780.0,24354719.666666664,48709439.33333333,104377370.0,8619128.466666667,17238256.933333334,36939122.0,28.916,2
chokepoint4,2023,12,Bab el-Mandeb Strait,64.87096774193549,64.0,13.512320144924214,0.20829533788794163,24.967741935483872,0.38488314271506713,2788821.0322580645,1197665.0,0.42945208249174366,10.064516129032258,22.096774193548388,5.129032258064516,39.903225806451616,0.03225806451612903,0.0,0.0,0.0,0.33888344760039174,0.4,31,454.0967741935484,908.1935483870968,1946.1290322580646,174.7741935483871,349.5483870967742,749.0322580645161,19521747.225806452,39043494.451612905,83664630.96774194,8383655.0,16767310.0,35929950.0,27.724,2
chokepoint4,2024,1,Bab el-Mandeb Strait,39.193548387096776,37.0,8.170758246489774,0.2084720211038543,13.612903225806452,0.34732510288065843,1619229.8064516129,760196.2903225806,0.46948017340940507,4.0,16.677419354838708,4.258064516129032,25.580645161290324,0.06451612903225806,0.06451612903225806,0.0,0.0,0.46107784431137727,0.6059113300492611,31,274.35483870967744,548.7096774193549,1175.8064516129032,95.29032258064517,190.58064516129033,408.38709677419354,11334608.64516129,22669217.29032258,48576894.19354839,5321374.0322580645,10642748.064516129,22805888.709677417,20.42,2
